page,text,ori_tokens
473,ST. PAUL WOODVIEW DETENTION HOME RAMSEY MNO62033C WABASHA COUNTY PROBATION AND WABASHA MNO79013G,DETENTION;MNO62033C;PROBATION;MNO79013G
473,D STILLWATER STATE PRISON FOR MEN WASHINGTON — MNOB2015C WARREN COUNTY COURT MARSHALL MNO0450 13J,MNOB2015C
476,GREENWOOD COUNTY PENAL FARM LEFLORE MS042013C JACKSON COUNTY COURT DISTRICT 4 HINDS MS025013d,GREENWOOD;MS042013C;MS025013D
476,GREENWOOD PROBATION DEPARTMENT LEFLORE MS042013G JACKSON JUVENILE DETENTION HINDS MS025011C,GREENWOOD;PROBATION;MS042013G;DETENTION;MS025011C
476,HATTIESBURG PROBATION DEPARTMENT FORREST MS016013G LAMBERT STATE PENITENTIARY QUITMAN MS060015C,PROBATION;MS016013G;MS060015C
477,COUNTY YOUTH COURT PARCHMAN STATE PENITENTIARY SUNFLOWER MS067015C,SUNFLOWER;MS067015C
477,MOSS POINT CITY ATTORNEY'S OFFICE JACKSON MS030011A RAYMOND COUNTY PENAL FARM HINDS MS025013C,MS030011A;MS025013C
480,CAPE GIRARDEAU JUVENILE DETENTION HOME CAPE GIRAR- MOQ016013C CHILLIGOTHE COUNTY PROSECUTING LIVINGSTON MO059013A,GIRARDEAU;DETENTION;MO059013A
480,CHESTERFIELD COUNTY CORRECTIONAL ST. LOUIS MQ095023C CRANE COUNTY CORONER'S OFFICE = STONE MO105013M,MQ095023C;MO105013M
482,ATTORNEY CORRECTIONSDIVISION OF,
482,HIGGINSVILLE POLICE COURT LAFAYETTE MO054021J PENITENTIARY FOR ME,LAFAYETTE;MO054021J
482,HILLSBORO COUNTY MAGISTRATE COURT — JEFFERSON MO050023J JEFFERSON CITY STATE PENITENTIARY COLE MO026045C,HILLSBORO;JEFFERSON;MO050023J;JEFFERSON;MO026045C
483,KANSAS CITY CORRECTIONAL INSTITUTION JACKSON M0048011C KINGSTON COUNTY PROSECUTING CALDWELL MO01301 GA,M0048011C
483,KANSAS CITY COUNTY DETENTION HOME JACKSON wi0048063C KIRKSVILLE COUNTY MAGISTRATE COURT — ADAIR M00010234,DETENTION;M00010234
483,KANSAS CITY FEDERAL PRISON SERVICE = JACKSON mo048027C LANCASTER COUNTY CORONER'S OFFICE SCHUYLER MO0990 13M,MO048027C;LANCASTER
485,NEOSHO COUNTY DETENTION HOME NEWTON ¥40073013C PARIS COUNTY MAGISTRATE COURT | MONROE MO069023U,DETENTION;40073013C;MO069023U
486,ROLLA COUNTY PROBATION OFFICE © CRAWFORD M0028013G PRISONERS,PROBATION;M0028013G;PRISONERS
487,DISTRICT 6 TIPTON STATE CORRECTIONAL MONITEAU MO0680 15G,
487,"ST. LOUIS CRIMINAL CORRECTIONS COURT INDEPENDENT MO116041,) TRENTON COUNTY PROBATE COURT GRUNDY MO040013",
487,ST. LOUIS JUVENILE DETENTION CENTER INDEPENDENT — MO116031C TROY COUNTY CORONER'S OFFICE LINCOLN MO057013M,DETENTION;MO116031C;MO057013M
487,ST. LOUIS JUVENILE DETENTION HOME —_—ST. LOUIS. MO095043C OFFICE,DETENTION;MO095043C
490,DEER LODGE STATE PRISON POWELL MT039015C GERALDINE POLICE COURT CHOUTEAU MT008061J,MT039015C;GERALDINE;MT008061J
497,LINCOLN GOUNTY YOUTH DETENTION = LANCASTER = NB058013C NORTH BEND POLICE MAGISTRATE COURT DODGE NB027021 J,DETENTION;LANCASTER;NB058013C
497,LINCOLN crate PENAL CORRECTIONAL — LANCASTER NBOS5015C NORTH PLATTE COUNTY ATTORNEY'S OFFICE LOGAN NBDSTOISA,LANCASTER;NBOS5015C;NBDSTOISA
500,CARSON CITY MAXIMUM SECURITY PRISON INDEPENDENT NV018035C HENDERSON MUNICIPAL COURT CLARK nvooe0t,NV018035C;HENDERSON;MUNICIPAL
500,CARSON CITY MEDIUM SECURITY PRISON INDEPENDENT ~—_NVO018045C HIKO JUSTICE OF THE PEACE COURT LINCOLN Nvo09033J,NVO09033J
500,CARSON CITY STATE WOMEN'S PRISON INDEPENDENT — NV018025C OFFICE,NV018025C
502,EXAMINER'SOFFICE CORRECTION,
502,CORRECTION GRASMERE COUNTY HOUSE OF HILLSBORO NH006013C,HILLSBORO;NH006013C
502,CLAREMONT DISTRICT COURT SULLIVAN NHO10023J CORRECTION,CLAREMONT;NHO10023J
502,CONCORD STATE PRISON MERRIMACK NHO007015C LACONIA COUNTY PROBATE COURT BELKNAP NH001013J,MERRIMACK;NH001013J
503,OSSIPEE SUPERIOR COURT CARROLL NHO02015) CORRECTION AND JAIL,
504,AUDUBON PARK BOROUGH SOLICITOR CAMDEN NJoO4011A BERKLEY HEIGHTS G. HERLICH DETENTION CENTER UNION NJ020023C,SOLICITOR;NJOO4011A;DETENTION;NJ020023C
505,BOUND BROOK BOROUGH COUNSEL SOMERSET NJO18021A CALDWELL COUNTY PENITENTIARY ESSEX NJ007013C,NJO18021A;NJ007013C
507,EGG HARBOR COUNTY DETENTION HOUSE — ATLANTIC NJO01013C PRETRIALINTERVENTION,DETENTION;NJO01013C
508,FREEHOLD COUNTY YOUTH DETENTION © MONMOUTH —-NJO19013C HAINESPORT TOWNSHIP SOLICITOR BURLINGTON NJO03191A,DETENTION;NJO19013C;SOLICITOR;NJO03191A
509,JERSEY CITY COUNTY COURT HUDSON Nu00s0235 LEESBURG STATE PRISON FARM CUMBERLAND —_NJO06015C,NU00S0235
509,JERSEY CITY COUNTY PENITENTIARY HUDSON Nyo09023C LINDEN CITY ATTORNEY UNION Nu020071A,NYO09023C;NU020071A
510,MARLBORO STATE PRISON RAHWAY UNIT MONMOUTH NJ013025C MONTCLAIR MUNICIPAL COURT ESSEX NJoo7081J,NJ013025C;MONTCLAIR;MUNICIPAL;NJOO7081J
511,PROGRAM NEW LISBON COUNTY JUVENILE DETENTION BURLINGTON — NJ0030136,DETENTION;NJ0030136
512,NORTH BRUNSWICK COUNTY DETENTION HOME MIDDLESEX NJ012033C PARSIPPANY - ONTY YOUTH SHELT woneis NJotaogac,BRUNSWICK;DETENTION;MIDDLESEX;NJ012033C;NJOTAOGAC
513,PERRINEVILLE MILLSTONE MUNICIPAL COURT MONMOUTH — NJo1g42tJ RAHWAY STATE PRISON FARM UNION NJ020015C,MILLSTONE;MUNICIPAL;NJO1G42TJ;NJ020015C
515,SOLICITOR TRENTON STATE PRISON MERCER NJO11045C,SOLICITOR;NJO11045C
516,ATTORNEY WEST TRENTON STATE PRISON MERCER NJO11055C,NJO11055C
517,WOODBURY COUNTY PRISON GLOUCESTER NJO08013C WOODSTOWN Pi Paaints TOWNSHIP SALEM NUOT712 1A,NJO08013C;WOODSTOWN
517,PROGRAM CORRECTION CENTER,
518,ALBUQUERQUE couny JUVENILE DETENTION BERNALILLO NM001013G CLAYTON STATE MAGISTRATE UNION wMostots,DETENTION;NM001013G
520,ROSWELL ADULT PROBATION AND PAROLE CHAVES NM003013G SOCORRO CHIEF PROBATION OFFICE SOCORRO NM028015G,PROBATION;NM003013G;PROBATION;NM028015G
520,OFFICE SOCORRO CITY ATTORNEY SOCORRO NMO28021A,NMO28021A
520,aan on irony OFFICE raves pope SOCORRO DISTRICT ATTORNEY SOCORRO NM028015A,NM028015A
520,SOCORRO MAGDALENA CITY ATTORNEY SOCORRO NMO028011A,MAGDALENA
520,ROSWELL COUNTY CORONER'S OFFICE CHAVES NMO03013M SOCORRO MAGISTRATE COURT soconRo wo28023),NMO03013M
520,ROSWELL HAGERMAN CITY ATTORNEY — CHAVES NM003011A SOCORRO eves AND PAROLE SOCORRO Na0280256,NM003011A;NA0280256
520,ROSWELL MAGISTRATE COURT DIVISION 1 CHAVES NM0030234 SOCORRO STATE MAGISTRATE SOCORRO ntwo280254,NM0030234
520,ROSWELL MUNICIPAL COURT CHAVES wMoo3024J SOCORRO 7TH JUDICIAL DISTRICT COURT SOCORRO NM028015J,MUNICIPAL;WMOO3024J;NM028015J
520,SANTA FE JUVENILE DETENTION HOME SANTA FE NM026013C TRUTH OR STATE MAGISTRATE SIERRA wwo27018),DETENTION;NM026013C
520,SANTA FE STATE PENITENTIARY SANTA FE NM026015C BOARD,NM026015C
521,ALBION WESTERN CORRECTIONAL ORLEANS NY036025C,NY036025C
521,AFTON TOWN JUSTICE CHENANGO NYOOB091J ALDEN COUNTY CORRECTIONAL FACIL ERIE N¥014013C,NYOOB091J
521,ALBANY COUNTY PENITENTIARY ALBANY NY001013C ALMOND ACTING JUSTICE ALLEGANY NY002181J,NY001013C;NY002181J
521,CORRECTIONAL SERVICES ALTAMONT TOWN JUSTICE OF ALBANY NY0011915,NY0011915
521,CORRECTIONAL SERVICES ALTAMONT VILLAGE JUSTICE ALBANY NY001124J,NY001124J
522,ATTICA CORRECTIONAL FACILITY WYOMING NY060015C BARNES CORNERS TOWN JUSTICE OF WORTH JEFFERSON NY0222214,NY060015C;JEFFERSON;NY0222214
522,AUBURN PRISON CORRECTIONAL CAYUGA NY005015C BATAVIA SUPREME COURT GENESEE Nyota018J,NY005015C;NYOTA018J
522,AVA TOWN JUSTICE ONEIDA NvOd2111J BEACON FISHKILL CORRECTIONAL DUTCHESS NY019045C,NVOD2111J;NY019045C
522,AVOCA TOWN JUSTICE STEUBEN NY0504814 BEACON GLENHAM CORRECTIONAL DUTCHESS NY013035C,NY0504814;NY013035C
523,BEDFORD HILLS CORRECTIONAL FACILITY WESTCHESTER — NYOS9015C BOMBAY TOWN JUSTICE FRANKLIN NY01611.1J,NYOS9015C
523,BINGHALITON U. & MAGISTRATE BROOME y0030273 BRONX HOUSE OF DETENTION BRONX NY062011C,DETENTION;NY062011C
526,CORRECTIONAL INSTITUTION CUBA VILLAGE JUSTICE ALLEGANY Nyoo2as1J,NYOO2AS1J
526,DANNEMORA ADIRONDACK CORRECTIONAL CLINTON NY009035C,DANNEMORA;NY009035C
526,CONSTABLE TOWN JUSTICE FRANKLIN NyOt6t71J DANNEMORA CLINTON CORRECTIONAL CLINTON Nyoo9015C,CONSTABLE;NYOT6T71J;DANNEMORA;NYOO9015C
527,DEPEW ACTING JUSTICE ERIE nvot4tetd EAST ELMHURST NEW YORK CITY CORRECTIONAL QUEENS NY040031C,NVOT4TETD;NY040031C
528,ELMIRA CORRECTIONAL FACILITY CHEMUNG NYO07015C WAPPINGERS,NYO07015C
531,HUDSON FALLS ACTING JUSTICE WASHINGTON —NY057231J JAMESVILLE COUNTY PENITENTIARY ONONDAGA NY039013C,NY057231J;NY039013C
532,HARPERSFIELD CORRECTIONAINSTITUTION,
532,KEW GARDENS HOUSE OF DETENTION QUEENS Nyo40021C LAWRENCE ACTING JUSTICE NASSAU wv0o9614J,DETENTION;NYO40021C;WV0O9614J
533,DETENTION FOR MEN MALONE ACTING JUSTICE FRANKLIN NY016351J,DETENTION;NY016351J
535,MONROE ACTING JUSTICE ORANGE NYO35971J NAPANOCH EASTERN CORRECTIONAL ULSTER NY055025C,NYO35971J;NY055025C
536,NEW YORK DEPARTMENT OF CORRECTIONS QUEENS NY040011C NICHOLS TOWN JUSTICE TIOGA Ny053021J,NY040011C;NY053021J
536,CORRECTIONALCENTER- NORTH BLENHEIM TOWN JUSTICE OF BLENHEIM SCHOHARIE NY047281J,SCHOHARIE;NY047281J
536,CORRECTIONALCENTER-MALE NORTH COHOCTON TOWN JUSTICE OF COHOCTON STEUBEN NY05021J,
537,NORWICH FAMILY COURT CHENANGO =——_NY00802HJ OSSINING CORRECTIONAL FACILITY WESTCHESTER — NY0S9035C,NY0S9035C
539,QUEENS CORRECTIONAL RECEPTION AND QUEENS NY040061C BELLE TERRE,RECEPTION;NY040061C
542,STORMVILLE GREEN HAVEN CORRECTIONAL DUTCHESS NY013015C TONAWANDA CITY COURT RE NyO14031,NY013015C;TONAWANDA
543,TUPPER LAKE VILLAGE JUSTICE FRANKLIN NYO16131J WALLKILL CORRECTIONAL FACILITY ULSTER NY055015C,NYO16131J;NY055015C
543,VALHALLA COUNTY CORRECTIONAL WESTCHESTER NY059013C WARSAW DISTRICT ATTORNEY WYOMING nyoe0013A,NY059013C;NYOE0013A
544,WATERLOO FAMILY COURT SENECA NY048023J WEST COXSACKIE COXSACKIE CORRECTIONAL = GREENE NYO19015C,NY048023J;COXSACKIE;COXSACKIE;NYO19015C
545,WHITEHALL TOWN JUSTICE OF GRANVILLE WASHINGTON —NY057341J WOODBOURNE CORRECTIONAL INSTITUTION SULLIVAN NY052015C,WHITEHALL;GRANVILLE;NY057341J;NY052015C
546,ASHEVILLE GRAGGY PRISON BUNCOMBE = NODI10150 CONCORD COUNTY CORONER'S OFFICE CABARRUS NCO13013M,ASHEVILLE;NODI10150;NCO13013M
546,BLANCH BLANGH PRISON CASWELL NCO17025C DURHAM U. §. MAGISTRATE DURHAM NC032027J,NCO17025C;NC032027J
546,CORRECTIONAL RESEARCH FAYETTEVILLE U. S. MAGISTRATE CUMBERLAND NC026027J,NC026027J
546,CORRECTIONAL RESEARCH FAYETTEVILLE 12TH DISTRICT COURT CUMBERLAND —_NC026025J,
546,CARTHAGE COUNTY CORONER'S OFFICE © MOORE NC063013M GASTONIA COUNTY DETENTION HOME GASTON NC036013C,NC063013M;DETENTION;NC036013C
546,OFFICE GIBSONVILLE PRISON FARM GUILFORD NC041013C,NC041013C
547,GREENSBORO JUVENILE DETENTION HOME GUILFORD NC041053C LILLINGTON YOUTH CENTER HARNETT NC043015C,DETENTION;NC041053C;NC043015C
547,GREENVILLE COUNTY CORONER’S OFFICE PITT NCO074013M LUMBERTON ROBESON COUNTY PRISON ROBESON NC078015C,LUMBERTON;NC078015C
547,EXAMINER 'SOFFICE MC CAIN STATE PRISON SANATORIUM = HOKE NC04701 5C,
547,HILLSBOROUGH COUNTY JAIL ORANGE NC068013C CORRECTIONALCENTER,NC068013C
547,JACKSON ODOM PRISON NORTHAMPTON NC066015C NASHYILLE YOUTH CENTER NASH NC0640 15C,NC066015C;NASHYILLE
548,RALEIGH CENTRAL PRISON WAKE NC092015C STATESVILLE SUPERIOR COURT CURRITUCK ——-NCO27018J,NC092015C;CURRITUCK;NCO27018J
548,RALEIGH COMMUNITY CORRECTIONAL WAKE NC092035C STATESVILLE U. S. DISTRICT COURT IREDELL NC049017J,COMMUNITY;NC092035C;NC049017J
548,RALEIGH STATE CORRECTIONAL WAKE NC092025C TARBORO SUPERIOR COURT EDGECOMBE = NO033015J,NC092025C;EDGECOMBE;NO033015J
548,RALEIGH US ATTORNEY WAKE Nco%2017A TILLERY CALEDONIA PRISON HALIFAX NC042015C,CALEDONIA;NC042015C
548,SANFORD COMMUNITY CORRECTIONAL LEE NC053015C WILKESBORO U.S. MAGISTRATE WILKES Nco970274,COMMUNITY;NC053015C;NCO970274
550,BISMARCK STATE PENITENTIARY BURLEIGH NDO08015C DICKINSON MUNICIPAL COURT STARK ND045021J,NDO08015C;DICKINSON;MUNICIPAL;ND045021J
550,BOWBELLS COUNTY ATTORNEY'S OFFICE BURKE ND007013A FARGO JUVENILE DETENTION HOME CASS ND009013C,ND007013A;DETENTION;ND009013C
553,AKRON JUVENILE DETENTION HOME SURMMIT OH0770030 BATAVIA county JUVENILE DETENTION CLERMONT 0H013013C,DETENTION;OH0770030;DETENTION;0H013013C
554,BRYAN CITY ATTORNEY'S OFFICE WILLIAMS OHO86011A CANTON COUNTY JUVENILE DETENTION STARK 0H076013C,OHO86011A;DETENTION;0H076013C
555,CHILLICOTHE STATE CORRECTIONAL ROSS OHO071015C COURT,
555,CHILLICOTHE U. S. MAGISTRATE ROSS OH0710174 CLEVELAND COUNTY DETENTION HOME CUYAHOGA 0H018043C,OH0710174;CLEVELAND;DETENTION;0H018043C
555,CINCINNATI COUNTY CORONER'S OFFICE HAMILTON 0H031013M CLEVELAND HOUSE OF CORRECTIONS CUYAHOGA ono180116,0H031013M;CLEVELAND;ONO180116
555,CINCINNATI COUNTY JUVENILE DETENTION HAMILTON OHO31023C REGIONAL OFFICE,DETENTION;OHO31023C
555,CIRCLEVILLE CITY SOLICITOR'S OFFICE PICKAWAY OH0650214 COLUMBUS CORRECTIONAL INSTITUTION FRANKLIN 0H025011C,SOLICITOR;OH0650214;0H025011C
556,COLUMBUS COUNTY JAIL FRANKLIN 0H025013C DAYTON CORRECTIONAL FARM MONTGOMERY QHO57011C,0H025013C;QHO57011C
556,COLUMBUS COUNTY JUVENILE DETENTION — FRANKLIN OH025023C DAYTON COUNTY ADULT PROBATION MONTGOMERY — 0H057029G,DETENTION;OH025023C;PROBATION;0H057029G
556,COLUMBUS PROBATION DEVELOPMENT FRANKLIN 0H025015G DAYTON JUVENILE DETENTION HOME MONTGOMERY — OH0670230,PROBATION;0H025015G;DETENTION;OH0670230
557,OFFICE FREMONT COUNTY DETENTION HOME SANDUSKY 0H072013C,DETENTION;0H072013C
558,HAMILTON CITY PROSECUTOR'S OFFICE BUTLER OHO09011A JEFFERSON vou JUVENILE DETENTION — ASHTABULA = OH004013C,OHO09011A;JEFFERSON;DETENTION;ASHTABULA;OH004013C
559,LEBANON STATE CORRECTIONAL WARREN 0H083015C LONDON MAYOR'S COURT MADISON OH049011 J,0H083015C
559,INSTITUTION LONDON STATE CORRECTIONAL MADISON OH049015C,OH049015C
560,MARION STATE CORRECTIONAL MARION 0H051015C MIAMISBURG COUNTY MUNICIPAL COURT MONTGOMERY — OH057073J,0H051015C;MUNICIPAL;OH057073J
561,NEW PHILADELPHIA JUVENILE DETENTION HOME TUSCARAWAS ~—_OHO79013C OREGON CITY SOLICITOR'S OFFICE LUCAS 0H048041A,DETENTION;SOLICITOR;0H048041A
561,NEWBURGH HEIGHTS VILLAGE PROSECUTOR'S OFFICE CUYAHOGA OHO18221A PAINESVILLE oOuE JUVENILE DETENTION LAKE OH043013C,OHO18221A;DETENTION;OH043013C
562,PORT CLINTON CITY SOLICITORS OFFICE OTTAWA OH062011A SANDUSKY COUNTY DETENTION HOME ERIE 0H022013C,OH062011A;DETENTION;0H022013C
563,SPRINGFIELD COUNTY JUVENILE DETENTION CLARK 0H012013C TILTONSVILLE MAYOR'S COURT JEFFERSON = OH041051J,DETENTION;0H012013C;JEFFERSON;OH041051J
564,COURT WHITEHOUSE HOUSE OF CORRECTIONS LUCAS OH048011C,OH048011C
565,WOODLAWN MAYOR'S COURT HAMILTON onngt24tJ YOUNGSTOWN COUNTY DETENTION HOUSE MAHONING OH050013C,ONNGT24TJ;DETENTION;OH050013C
566,AROMORE 20TH DISTRICT COURT CARTER 0K010015) EL RENO FEDERAL CORRECTIONAL N/A 0K009017C,0K009017C
566,BETHANY MUNICIPAL COURT OKLAHOMA OK0550110 FARRIS. STATE PENITENTIARY ATOKA 0K003015C,MUNICIPAL;OK0550110;0K003015C
567,TREATMENT CENTER OKLAHOMA CITY BERRY HOUSE DETENTION OKLAHOMA 0K055013C,TREATMENT;DETENTION;0K055013C
567,PENITENTIARY SOUTHERN DISTRICT,
567,MC ALESTER STATE PENITENTIARY PITTSBURG OK061015C OKLAHOMA CITY DEPARTMENT OF CORRECTIONS OKLAHOMA OK05S065G,PITTSBURG;OK061015C;OK05S065G
567,PENITENTIARY OKLAHOMA CITY DISTRICT ATTORNEY OKLAHOMA OKO55025A,OKO55025A
568,POTEAU CITY ATTORNEY LE FLORE oKo40014A TULSA DETENTION CENTER TULSA 0K0720116,OKO40014A;DETENTION;0K0720116
568,STRINGTOWN STATE PENITENTIARY ATOKA OK003025C WEWOKA MUNICIPAL COURT SEMINOLE OK0670214,OK003025C;MUNICIPAL;OK0670214
570,EUGENE CORRECTIONS DIVISION- LANE OR020033C HARRISBURG MUNICIPAL COURT LINN oR022021J,OR020033C;MUNICIPAL;OR022021J
570,EUGENE CORRECTIONS DIVISION: WORK LANE OR020043C HEPPNER CIRCUIT COURT MORROW 0025015),OR020043C
570,EUGENE COUNTY JUVENILE DETENTION LANE oR0200230,DETENTION;OR0200230
571,MADRAS COUNTY COURT JEFFERSON OR016033J NORTH BEND CORRECTIONS DIVISION- Co0s OR006023C,JEFFERSON;OR016033J;OR006023C
571,MEDFORD COUNTY JUVENILE DETENTION JACKSON 0R015013C OREGON CITY COUNTY RANCH CLACKAMAS OR003023G,DETENTION;0R015013C;CLACKAMAS;OR003023G
571,MILWAUKIE CORRECTIONS DIVISION WORK CLACKAMAS OR003025C REGIONAL OFFICE,MILWAUKIE;CLACKAMAS;OR003025C
572,PORTLAND CORRECTIONS DIVISION- MULTNOMAH — ORO26065C SALEM ATTORNEY GENERAL- MARION ORO24015A,MULTNOMAH;ORO26065C;ORO24015A
572,PORTLAND CORRECTIONS DIVISION: MEN = MULTNOMAH ~—OR026075C SALEM BOARD OF PAROLE AND MARION OR0240356,MULTNOMAH;OR026075C;OR0240356
572,PORTLAND CORRECTIONS DIVISION- MULTNOMAH —ORO26055C SALEM CIRCUIT COURT MARION OR0240254,MULTNOMAH;ORO26055C;OR0240254
572,HALFWAY HOUSE SALEM CORRECTIONS DIVISION- ADULT MARION OR024095C,OR024095C
572,OFFICE SALEM CORRECTIONS DIVISION. MARION OR024085C,OR024085C
572,PORTLAND OREGON STATE CORRECTION MULTNOMAH —-OR026085C OFFICE,MULTNOMAH;OR026085C
572,REGIONAL OFFICE CORRECTIONS SYSTEM,
572,SALEM STATE CORRECTIONAL MARION OR024025C,OR024025C
572,PRINEVILLE COUNTY JUSTICE COURT CROOK OR0070134 SALEM STATE PENITENTIARY MARION On024015C,OR0070134;ON024015C
572,PRINEVILLE MUNICIPAL COURT CROOK OR0070114 SALEM STATE PENITENTIARY FOR MARION OR024075C,MUNICIPAL;OR0070114;OR024075C
572,RAINIER MUNICIPAL COURT COLUMBIA OR005021J SALEM STATE PENITENTIARY ANNEX MARION OR024065C,MUNICIPAL;OR005021J;OR024065C
572,REDMOND MUNICIPAL COURT DESCHUTES OR009021J SALEM WOMEN’S CORRECTIONAL MARION 0R024035C,MUNICIPAL;DESCHUTES;OR009021J;0R024035C
573,TROUTDALE COUNTY CORRECTIONAL MULTNOMAH OR026013C WILSONVILLE DAMMASGH STATE MENTAL CLACKAMAS OR00301 5C,TROUTDALE;MULTNOMAH;OR026013C;CLACKAMAS
574,ALLENTOWN BOARD OF PAROLE LEHIGH PA039015G BEAVER COUNTY PRISON BEAVER PA004023C,ALLENTOWN;PA039015G;PA004023C
574,ALLENTOWN COUNTY DETENTION HOME LEHIGH PAQ39023C BEAVER JUSTICE OF THE PEACE BEAVER PA004053J,ALLENTOWN;DETENTION;PAQ39023C;PA004053J
574,ALLENTOWN COUNTY PRISON LEHIGH PA039013C DISTRICT 36-2-02,ALLENTOWN;PA039013C
574,ALLENTOWN COUNTY PROBATION OFFICE — LEHIGH PA039013G BEAVER JUVENILE DETENTION HOME BEAVER PA004013C,ALLENTOWN;PROBATION;PA039013G;DETENTION;PA004013C
574,ALLENTOWN JUSTICE OF THE PEACE LEHIGH PA09103 BEDFORD COUNTY PRISON BEDFORD PA00S013C,ALLENTOWN;PA00S013C
574,DISTRICT 31-3-04 BELLEFONTE COUNTY PRISON CENTRE PA014013C,PA014013C
574,ALTOONA BOARD OF PAROLE BLAIR PA007015G BELLEFONTE STATE CORRECTIONAL CENTRE PAQ14015C,PA007015G;PAQ14015C
574,ALTOONA JUVENILE DETENTION HOME —BLAIR PAQO7023C DISTRICT 05-2-20,DETENTION;PAQO7023C
575,BIRDSBORO JUSTICE OF THE PEACE BERKS PA006119J BUTLER COUNTY CORRECTIONAL BUTLER PA010013C,BIRDSBORO;PA006119J;PA010013C
575,BLAIRSVILLE COUNTY PRISON INDIANA PA032013C BUTLER COUNTY PRISON BUTLER PA010023C,PA032013C;PA010023C
575,BLOOMSBURG GOUNTY PRISON COLUMBIA PAOI9013C CAMBRIDGE SPRINGS JUSTICE OF THE PEACE CRAWFORD PA020033u,PAOI9013C;CAMBRIDGE;PA020033U
575,"BLOOMSBURG JUSTICE OF THE PEACE COLUMBIA PA019013U CAMP HILL BUREAU OF CORRECTIONS, CUMBERLAND PA021025C",PA019013U;PA021025C
575,DISTRICT 02-3-06 CAMP HILL STATE CORRECTIONAL CUMBERLAND ~—- PAQ21015C,PAQ21015C
575,DISTRICT 23-3-02 CARLISLE COUNTY PRISON CUMBERLAND —- PAO21013G,PAO21013G
575,BROOKVILLE ADULT PROBATION OFFICE JEFFERSON PA033013G CHAMBERSBURG COUNTY PRISON FRANKLIN PA028013C,PROBATION;JEFFERSON;PA033013G;PA028013C
575,BROOKVILLE COUNTY PRISON JEFFERSON = PA0330136 CHAMBERSBURG JUSTICE OF THE PEACE FRANKLIN PA028013J,JEFFERSON;PA0330136;PA028013J
576,DISTRICT 50-3-02 CORRY JUSTICE OF THE PEACE ERIE PA025123J,PA025123J
576,DISTRICT 18 COUDERSPORT COUNTY PRISON POTTER PA053013C,PA053013C
576,CLARION COUNTY PRISON CLARION PAO16013C COQUDERSPORT DISTRICT ATTORNEY POTTER PA053013A,PAO16013C;PA053013A
576,CLEARFIELD COUNTY PRISON CLEARFIELD PAQ17019C DALLAS STATE CORRECTIONAL LUZERNE PA040035C,PAQ17019C;PA040035C
576,CLEARFIELD JUSTICE OF THE PEACE CLEARFIELD PAD17043/ DANVILLE COUNTY PRISON MONTOUR PA0A7013C,PA0A7013C
576,COCHRANTON JUSTICE OF THE PEACE CRAWFORD PA0200734 DOYLESTOWN COUNTY PRISON BUCKS PA009013C,PA0200734;PA009013C
577,EASTON COUNTY PRISON NORTHAMPTON — PA048013C DISTRICT 06-1-01,PA048013C
577,EASTON JUVENILE DETENTION HOME = NORTHAMPTON PA048023C DISTRICT 06-1-04,DETENTION;PA048023C
577,EBENSBURG COUNTY PRISON CAMBRIA PAO11013C ERIE cl AND PAROLE ERIE PA02501 3G,EBENSBURG;PAO11013C
577,EDISON JUVENILE DETENTION HOME BUCKS PAQ09023C,DETENTION;PAQ09023C
577,EMPORIUM COUNTY PRISON CAMERON PAQ12013C FEASTERVILLE usm OF te PEACE BUCKS,PAQ12013C
577,ERIE COUNTY PRISON ERIE PA025013C DISTRICT 05-2-08,PA025013C
578,DISTRICT 44-4-03 CORRECTIONAL FACILITY #5,
578,FRANKLIN COUNTY PRISON VENANGO PA061013C DISTRICT 51-3-03,PA061013C
578,GETTYSBURG COMMON PLEAS COURT ADAMS PAOO10154 HARRISBURG COUNTY PRISON DAUPHIN paog201ac,PAOO10154;PAOG201AC
578,GETTYSBURG COUNTY PRISON ADAMS PADO10196 HARRISBURG JUSTICE OF THE PEACE DAUPHIN pA022103J,PADO10196;PA022103J
578,DISTRICT 32-2-05 HARRISBURG JUVENILE DETENTION HOME DAUPHIN PA022023C,DETENTION;PA022023C
578,GRATERFORD STATE CORRECTIONAL MONTGOMERY — PA046025C HARRISBURG U. S. DISTRICT COURT DAUPHIN PAd220174,PA046025C;PAD220174
578,GREENSBURG COUNTY PRISON WESTMORELAND PAQ66013C HAVERTOWN JUSTICE OF THE PEACE DELAWARE PA023073J,PAQ66013C;HAVERTOWN;PA023073J
578,GREENSBURG JUVENILE DETENTION HOME = WESTMORELAND PA065023C HAZLETON JUSTICE OF THE PEACE LUZERNE paosooaad,DETENTION;PA065023C;PAOSOOAAD
579,HOLLIDAYSBURG COUNTY PRISON BLAIR PAOO7013C IRWIN JUSTICE OF THE PEACE WESTMORELAND PA065083.J,PAOO7013C
579,HONESDALE COUNTY PRISON WAYNE PA064013C JESSUP JUSTICE OF THE PEACE LACKAWANNA —- PAO35063.5,HONESDALE;PA064013C
579,DISTRICT 22.3-02 JIM THORPE COUNTY PRISON CARBON PANI3N3G,
579,HUNTINGDON COUNTY PRISON HUNTINGDON PAOSIO18C KINTNERSVILLE JUSTICE OF THE PEACE BUCKS PAQUSI7SJ,PAOSIO18C;PAQUSI7SJ
